# balticporter port map	schema=3	module=sge-anim8	engine=balticporter/0.1.0-SNAPSHOT	sources=6b96efbdb888cc69	files=16	policy=ccc6ac65f5aaabb1
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	com.github.tommyettinger.anim8.AnimatedGif	sge.anim8.AnimatedGif	Renamed	-		0		companion=yes form=class parents=sge.anim8.AnimationWriter,sge.anim8.Dithered primary=() primaryKind=unique-root primaryVis=public
type	com.github.tommyettinger.anim8.AnimatedPNG	sge.anim8.AnimatedPNG	Renamed	-		0		companion=yes form=class parents=sge.anim8.AnimationWriter,java.lang.AutoCloseable primary=(int) primaryKind=unique-root primaryVis=public secondaries=() statics=COLOR_ARGB,COMPRESSION_DEFLATE,FILTER_NONE,IDAT,IEND,IHDR,INTERLACE_NONE,SIGNATURE,acTL,fcTL,fdAT
type	com.github.tommyettinger.anim8.AnimationWriter	sge.anim8.AnimationWriter	Renamed	-		0		form=trait
type	com.github.tommyettinger.anim8.ChunkBuffer	sge.anim8.ChunkBuffer	Renamed	-		0		form=class parents=java.io.DataOutputStream primary=(ByteArrayOutputStream,CRC32) primaryKind=unique-root primaryVis=private secondaries=(int)
type	com.github.tommyettinger.anim8.ConstantData	sge.anim8.ConstantData	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.github.tommyettinger.anim8.Dithered	sge.anim8.Dithered	Renamed	-		0		companion=yes form=trait statics=DitherAlgorithm
type	com.github.tommyettinger.anim8.Dithered$DitherAlgorithm	sge.anim8.Dithered$DitherAlgorithm	Renamed	-		0		companion=yes flags=abstract,sealed form=enum-class parents=java.lang.Enum primary=(String) primaryKind=not-funnelled primaryVis=public statics=ALL
type	com.github.tommyettinger.anim8.FastAPNG	sge.anim8.FastAPNG	Renamed	-		0		companion=yes disambiguator=marker form=class parents=sge.anim8.AnimatedPNG primary=(int,?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(int)
type	com.github.tommyettinger.anim8.FastGif	sge.anim8.FastGif	Renamed	-		0		companion=yes form=class parents=sge.anim8.AnimatedGif primary=() primaryKind=unique-root primaryVis=public
type	com.github.tommyettinger.anim8.FastPNG	sge.anim8.FastPNG	Renamed	-		0		companion=yes form=class parents=java.lang.AutoCloseable primary=(int) primaryKind=unique-root primaryVis=public secondaries=() statics=COLOR_ARGB,COMPRESSION_DEFLATE,FILTER_NONE,IDAT,IEND,IHDR,INTERLACE_NONE,SIGNATURE
type	com.github.tommyettinger.anim8.FastPNG8	sge.anim8.FastPNG8	Renamed	-		0		companion=yes form=class parents=sge.anim8.PNG8 primary=(int) primaryKind=unique-root primaryVis=public secondaries=()
type	com.github.tommyettinger.anim8.FastPalette	sge.anim8.FastPalette	Renamed	-		0		companion=yes disambiguator=marker form=class parents=sge.anim8.PaletteReducer primary=(?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(int[]);(int[],int);(Color[]);(Color[],int);(Pixmap);(Array);(int[],byte[]);(Pixmap,double)
type	com.github.tommyettinger.anim8.LZWEncoder	sge.anim8.LZWEncoder	Renamed	-		0		companion=yes form=class primary=(int,int,byte[],int) primaryKind=unique-root primaryVis=public statics=BITS,EOF,HSIZE
type	com.github.tommyettinger.anim8.OtherMath	sge.anim8.OtherMath	Renamed	-		0		flags=final form=object primary=() primaryKind=unique-root primaryVis=private
type	com.github.tommyettinger.anim8.OtherMath$BiasGain	sge.anim8.OtherMath$BiasGain	Renamed	-		0		companion=yes form=class parents=sge.math.Interpolation primary=(float,float) primaryKind=unique-root primaryVis=public secondaries=()
type	com.github.tommyettinger.anim8.PNG8	sge.anim8.PNG8	Renamed	-		0		companion=yes form=class parents=sge.anim8.AnimationWriter,sge.anim8.Dithered,java.lang.AutoCloseable primary=(int) primaryKind=unique-root primaryVis=public secondaries=() statics=COLOR_INDEXED,COMPRESSION_DEFLATE,FILTER_NONE,IDAT,IEND,IHDR,INTERLACE_NONE,PLTE,SIGNATURE,TRNS,acTL,centralizePalette,editPalette,editPaletteLightness,editPaletteOklab,editPaletteSaturation,fcTL,fdAT,hueShift,readChunks,swapPalette,writeChunks
type	com.github.tommyettinger.anim8.PaletteReducer	sge.anim8.PaletteReducer	Renamed	-		0		companion=yes disambiguator=marker form=class primary=(?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(int[]);(int[],int);(Color[]);(Color[],int);(Pixmap);(Array);(int[],byte[]);(Pixmap,double) statics=AURORA,BIG_PALETTE,HALTONIC,IntComparator,OKLAB,SNUGGLY,TBM_BITS,TBM_MASK,TRIANGULAR_BYTE_LOOKUP,TRI_BAYER_MATRIX_128,TRI_BLUE_NOISE,TRI_BLUE_NOISE_B,TRI_BLUE_NOISE_C,TRI_BLUE_NOISE_MULTIPLIERS,TRI_BLUE_NOISE_MULTIPLIERS_B,TRI_BLUE_NOISE_MULTIPLIERS_C,bayer,bigPaletteLoaded,bigPaletteMapping,colorsFrom,compareSwap,entryComparator,forwardLight,fromLinearLUT,hueComparator,inPlaceMerge,interleaveBytes,lightnessComparator,loadPreloadFile,lowerBound,oklabToRGB,reverseLight,reverseShortBits,shrink,sort,sort16,sort8,stretch,swap,tempThresholdMatrix,thresholdMatrix16,thresholdMatrix64,thresholdMatrix8,toLinearLUT,upperBound
type	com.github.tommyettinger.anim8.PaletteReducer$IntComparator	sge.anim8.PaletteReducer$IntComparator	Renamed	-		0		form=trait
type	com.github.tommyettinger.anim8.QualityPalette	sge.anim8.QualityPalette	Renamed	-		0		companion=yes disambiguator=marker form=class parents=sge.anim8.PaletteReducer primary=(?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(int[]);(int[],int);(Color[]);(Color[],int);(Pixmap);(Array);(int[],byte[]);(Pixmap,double) statics=forwardLight,reverseLight
type	com.badlogic.gdx.net.NetJavaImpl		Dropped	-		0		
type	com.badlogic.gdx.utils.Disposable		Dropped	-		0		
type	com.badlogic.gdx.utils.Json		Dropped	-		0		
type	com.badlogic.gdx.utils.Pools		Dropped	-		0		
type	com.badlogic.gdx.utils.ReflectionPool		Dropped	-		0		
type	com.badlogic.gdx.utils.reflect.Annotation		Dropped	-		0		
type	com.badlogic.gdx.utils.reflect.ArrayReflection		Dropped	-		0		
type	com.badlogic.gdx.utils.reflect.ClassReflection		Dropped	-		0		
type	com.badlogic.gdx.utils.reflect.Constructor		Dropped	-		0		
type	com.badlogic.gdx.utils.reflect.Field		Dropped	-		0		
type	com.badlogic.gdx.utils.reflect.Method		Dropped	-		0		
type	com.badlogic.gdx.utils.reflect.ReflectionException		Dropped	-		0		
type		balticporter.runtime.JavaCollection	Added	-		0		
type		balticporter.runtime.JavaCollections	Added	-		0		
type		balticporter.runtime.JavaEnumMap	Added	-		0		
type		balticporter.runtime.JavaEnumSet	Added	-		0		
type		balticporter.runtime.JavaIterable	Added	-		0		
type		balticporter.runtime.JavaIterator	Added	-		0		
type		balticporter.runtime.JavaListIterator	Added	-		0		
type		balticporter.runtime.JavaOptionalDouble	Added	-		0		
type		balticporter.runtime.JavaOptionalInt	Added	-		0		
type		balticporter.runtime.JavaOptionalLong	Added	-		0		
type		balticporter.runtime.JavaStack	Added	-		0		
member	com.github.tommyettinger.anim8.AnimatedGif#addFrame(Pixmap)	sge.anim8.AnimatedGif#addFrame(Pixmap)	Renamed	-	com/github/tommyettinger/anim8/AnimatedGif.java	327	7eb406a53c4eba9c	
member	com.github.tommyettinger.anim8.AnimatedGif#analyzeAdditive()	sge.anim8.AnimatedGif#analyzeAdditive()	Renamed	-	com/github/tommyettinger/anim8/AnimatedGif.java	601	124ea3da4194b226	
