# balticporter port map	schema=3	module=sge-ai	engine=balticporter/0.1.0-SNAPSHOT	sources=9c2fec9564d77ee6	files=164	policy=115c0bcb779bafa0
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	com.badlogic.gdx.ai.DefaultTimepiece	sge.ai.DefaultTimepiece	Renamed	-		0		form=class parents=sge.ai.Timepiece primary=(float) primaryKind=unique-root primaryVis=public secondaries=()
type	com.badlogic.gdx.ai.FileSystem	sge.ai.FileSystem	Renamed	-		0		form=trait
type	com.badlogic.gdx.ai.GdxAI	sge.ai.GdxAI	Renamed	-		0		flags=final form=object primary=() primaryKind=unique-root primaryVis=private
type	com.badlogic.gdx.ai.GdxFileSystem	sge.ai.GdxFileSystem	Renamed	-		0		form=class parents=sge.ai.FileSystem primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.ai.GdxLogger	sge.ai.GdxLogger	Renamed	-		0		form=class parents=sge.ai.Logger primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.ai.Logger	sge.ai.Logger	Renamed	-		0		form=trait
type	com.badlogic.gdx.ai.NullLogger	sge.ai.NullLogger	Renamed	-		0		form=class parents=sge.ai.Logger primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.ai.StandaloneFileSystem	sge.ai.StandaloneFileSystem	Renamed	-		0		companion=yes form=class parents=sge.ai.FileSystem primary=() primaryKind=unique-root primaryVis=public statics=DesktopFileHandle
type	com.badlogic.gdx.ai.StandaloneFileSystem$DesktopFileHandle	sge.ai.StandaloneFileSystem$DesktopFileHandle	Renamed	-		0		companion=yes form=class parents=sge.files.FileHandle primary=() primaryKind=not-funnelled primaryVis=public secondaries=(String,FileType);(File,FileType) statics=externalPath,localPath
type	com.badlogic.gdx.ai.StdoutLogger	sge.ai.StdoutLogger	Renamed	-		0		form=class parents=sge.ai.Logger primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.ai.Timepiece	sge.ai.Timepiece	Renamed	-		0		form=trait
