# balticporter port map	schema=3	module=sge-ai-test	engine=balticporter/0.1.0-SNAPSHOT	sources=430a6fde5872b03a	files=2	policy=a375cffcb941dcba
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	com.badlogic.gdx.ai.btree.branch.ParallelTest	sge.ai.btree.branch.ParallelTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.ai.btree.branch.ParallelTest$TestTask	sge.ai.btree.branch.ParallelTest$TestTask	Renamed	-		0		companion=yes form=class parents=sge.ai.btree.LeafTask primary=() primaryKind=unique-root primaryVis=private[ParallelTest]
type	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest	sge.ai.pfa.indexed.IndexedAStarPathFinderTest	Renamed	-		0		companion=yes form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public statics=ManhattanDistance,MyDynamicGraph,MyGraph,MyNode,MyNodeWithEquals,MyNodesFactory,createGraphFromTextRepresentation,createStringTilesFromGraphTextRepresentation
type	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$ManhattanDistance	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$ManhattanDistance	Renamed	-		0		form=class parents=sge.ai.pfa.Heuristic primary=() primaryKind=unique-root primaryVis=private[IndexedAStarPathFinderTest]
type	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyDynamicGraph	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyDynamicGraph	Renamed	-		0		form=class parents=sge.ai.pfa.indexed.IndexedGraph primary=(MyGraph,MyNodesFactory) primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyGraph	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyGraph	Renamed	-		0		form=class parents=sge.ai.pfa.indexed.IndexedGraph primary=(Array) primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode	Renamed	-		0		form=class primary=(int,int,int,int) primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNodeWithEquals	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNodeWithEquals	Renamed	-		0		form=class parents=sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode primary=(int,int,int,int) primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNodesFactory	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNodesFactory	Renamed	-		0		form=trait
type	com.badlogic.gdx.ai.GdxAI		Dropped	-		0		
type	com.badlogic.gdx.net.NetJavaImpl		Dropped	-		0		
type	com.badlogic.gdx.utils.Disposable		Dropped	-		0		
type	com.badlogic.gdx.utils.Json		Dropped	-		0		
type	com.badlogic.gdx.utils.Pools		Dropped	-		0		
type	com.badlogic.gdx.utils.ReflectionPool		Dropped	-		0		
type	com.badlogic.gdx.utils.reflect.Annotation		Dropped	-		0		
type	com.badlogic.gdx.utils.reflect.ArrayReflection		Dropped	-		0		
type	com.badlogic.gdx.utils.reflect.ClassReflection		Dropped	-		0		
type	com.badlogic.gdx.utils.reflect.Constructor		Dropped	-		0		
type	com.badlogic.gdx.utils.reflect.Field		Dropped	-		0		
type	com.badlogic.gdx.utils.reflect.Method		Dropped	-		0		
type	com.badlogic.gdx.utils.reflect.ReflectionException		Dropped	-		0		
type		balticporter.runtime.JavaCollection	Added	-		0		
type		balticporter.runtime.JavaCollections	Added	-		0		
type		balticporter.runtime.JavaEnumMap	Added	-		0		
type		balticporter.runtime.JavaEnumSet	Added	-		0		
type		balticporter.runtime.JavaIterable	Added	-		0		
type		balticporter.runtime.JavaIterator	Added	-		0		
type		balticporter.runtime.JavaListIterator	Added	-		0		
type		balticporter.runtime.JavaOptionalDouble	Added	-		0		
type		balticporter.runtime.JavaOptionalInt	Added	-		0		
type		balticporter.runtime.JavaOptionalLong	Added	-		0		
