# balticporter port map	schema=4	module=sge-l0-test	engine=balticporter/0.1.0-SNAPSHOT	sources=a7e5379c527be82c	files=29	policy=c9f0c8a40f9ff663	jdk=22
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	com.badlogic.gdx.graphics.g3d.utils.AnimationControllerTest	sge.graphics.g3d.utils.AnimationControllerTest	Renamed	-		0		companion=yes form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public statics=assertSameAnimation
type	com.badlogic.gdx.graphics.g3d.utils.AnimationDescTest	sge.graphics.g3d.utils.AnimationDescTest	Renamed	-		0		companion=yes form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public statics=epsilon
type	com.badlogic.gdx.math.BSplineTest	sge.math.BSplineTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.math.BezierTest	sge.math.BezierTest	Renamed	-		0		companion=yes form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public statics=ImportType,epsilon,epsilonApprimations,parameters
type	com.badlogic.gdx.math.BezierTest$ImportType	sge.math.BezierTest$ImportType	Renamed	-		0		companion=yes flags=enum form=enum parents=java.lang.Enum primary=() primaryKind=not-funnelled primaryVis=public
type	com.badlogic.gdx.math.ConvexHullTest	sge.math.ConvexHullTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.math.IntersectorTest	sge.math.IntersectorTest	Renamed	-		0		companion=yes form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public statics=triangleEquals
type	com.badlogic.gdx.math.MathUtilsTest	sge.math.MathUtilsTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.math.OctreeTest	sge.math.OctreeTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.math.PolygonTest	sge.math.PolygonTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.math.RectangleTest	sge.math.RectangleTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.math.Shape2DTest	sge.math.Shape2DTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.math.Vector2Test	sge.math.Vector2Test	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.math.Vector3Test	sge.math.Vector3Test	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.math.Vector4Test	sge.math.Vector4Test	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.math.collision.CollisionTest	sge.math.collision.CollisionTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.utils.AtomicQueueTest	sge.utils.AtomicQueueTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.utils.BitsTest	sge.utils.BitsTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.utils.CharArrayTest	sge.utils.CharArrayTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.utils.FlushablePoolTest	sge.utils.FlushablePoolTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.utils.FlushablePoolTest$FlushablePoolClass	sge.utils.FlushablePoolTest$FlushablePoolClass	Renamed	-		0		companion=yes form=class parents=sge.utils.FlushablePool primary=() primaryKind=no-arg-root primaryVis=public secondaries=(int);(int,int)
