# balticporter port map	schema=4	module=lls	engine=balticporter/0.1.0-SNAPSHOT	sources=779e213f6ebe9185	files=12	policy=e3b0c44298fc1c14	jdk=22
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	com.badlogic.gdx.math.MathUtils	lowlevel.math.MathUtils	Renamed	-		0		flags=final form=object primary=() primaryKind=unique-root primaryVis=private
type	com.badlogic.gdx.math.MathUtils$Sin	lowlevel.math.MathUtils$Sin	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=private[MathUtils]
type	com.badlogic.gdx.utils.ArrayMap	lowlevel.util.ArrayMap	Renamed	-		0		companion=yes disambiguator=marker form=class parents=java.lang.Iterable primary=(?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(int);(boolean,int);(boolean,int,ArraySupplier,ArraySupplier);(ArraySupplier,ArraySupplier);(boolean,int,Class,Class);(Class,Class);(ArrayMap) statics=Entries,Keys,Values tparams="[K <: java.lang.Object, V <: java.lang.Object]"
type	com.badlogic.gdx.utils.ArrayMap$Entries	lowlevel.util.ArrayMap$Entries	Renamed	-		0		form=class parents=java.lang.Iterable,java.util.Iterator primary=(ArrayMap) primaryKind=unique-root primaryVis=public tparams="[K <: java.lang.Object, V <: java.lang.Object]"
type	com.badlogic.gdx.utils.ArrayMap$Keys	lowlevel.util.ArrayMap$Keys	Renamed	-		0		form=class parents=java.lang.Iterable,java.util.Iterator primary=(ArrayMap) primaryKind=unique-root primaryVis=public tparams="[K <: java.lang.Object]"
type	com.badlogic.gdx.utils.ArrayMap$Values	lowlevel.util.ArrayMap$Values	Renamed	-		0		form=class parents=java.lang.Iterable,java.util.Iterator primary=(ArrayMap) primaryKind=unique-root primaryVis=public tparams="[V <: java.lang.Object]"
type	com.badlogic.gdx.utils.ComparableTimSort	lowlevel.util.ComparableTimSort	Renamed	-		0		companion=yes disambiguator=marker form=class primary=(Object[],?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(Object[]) statics=DEBUG,INITIAL_TMP_STORAGE_LENGTH,MIN_GALLOP,MIN_MERGE,binarySort,countRunAndMakeAscending,gallopLeft,gallopRight,minRunLength,rangeCheck,reverseRange,sort
type	com.badlogic.gdx.utils.Array	lowlevel.util.DynamicArray	Renamed	-		0		companion=yes disambiguator=marker form=class parents=java.lang.Iterable primary=(?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(int);(boolean,int);(boolean,int,ArraySupplier);(ArraySupplier);(boolean,int,Class);(Class);(DynamicArray);(T[]);(boolean,T[],int,int) statics=ArrayIterable,ArrayIterator,`with`,of tparams="[T <: java.lang.Object]"
type	com.badlogic.gdx.utils.Array$ArrayIterable	lowlevel.util.DynamicArray$ArrayIterable	Renamed	-		0		form=class parents=java.lang.Iterable primary=(DynamicArray,boolean) primaryKind=unique-root primaryVis=public secondaries=(DynamicArray) tparams="[T <: java.lang.Object]"
type	com.badlogic.gdx.utils.Array$ArrayIterator	lowlevel.util.DynamicArray$ArrayIterator	Renamed	-		0		form=class parents=java.util.Iterator,java.lang.Iterable primary=(DynamicArray,boolean) primaryKind=unique-root primaryVis=public secondaries=(DynamicArray) tparams="[T <: java.lang.Object]"
type	com.badlogic.gdx.utils.ObjectMap	lowlevel.util.ObjectMap	Renamed	-		0		companion=yes form=class parents=java.lang.Iterable primary=() primaryKind=unique-root primaryVis=public secondaries=(int);(int,float);(ObjectMap) statics=Entries,Entry,Keys,MapIterator,Values,dummy tparams="[K <: java.lang.Object, V <: java.lang.Object]"
type	com.badlogic.gdx.utils.ObjectMap$Entries	lowlevel.util.ObjectMap$Entries	Renamed	-		0		form=class parents=lowlevel.util.ObjectMap$MapIterator primary=(ObjectMap) primaryKind=unique-root primaryVis=public tparams="[K <: java.lang.Object, V <: java.lang.Object]"
type	com.badlogic.gdx.utils.ObjectMap$Entry	lowlevel.util.ObjectMap$Entry	Renamed	-		0		form=class primary=() primaryKind=unique-root primaryVis=public tparams="[K <: java.lang.Object, V <: java.lang.Object]"
type	com.badlogic.gdx.utils.ObjectMap$Keys	lowlevel.util.ObjectMap$Keys	Renamed	-		0		form=class parents=lowlevel.util.ObjectMap$MapIterator primary=(ObjectMap) primaryKind=unique-root primaryVis=public tparams="[K <: java.lang.Object]"
type	com.badlogic.gdx.utils.ObjectMap$MapIterator	lowlevel.util.ObjectMap$MapIterator	Renamed	-		0		flags=abstract form=class parents=java.lang.Iterable,java.util.Iterator primary=(ObjectMap) primaryKind=unique-root primaryVis=public tparams="[K <: java.lang.Object, V <: java.lang.Object, I <: java.lang.Object]"
type	com.badlogic.gdx.utils.ObjectMap$Values	lowlevel.util.ObjectMap$Values	Renamed	-		0		form=class parents=lowlevel.util.ObjectMap$MapIterator primary=(ObjectMap) primaryKind=unique-root primaryVis=public tparams="[V <: java.lang.Object]"
type	com.badlogic.gdx.utils.ObjectSet	lowlevel.util.ObjectSet	Renamed	-		0		companion=yes form=class parents=java.lang.Iterable primary=() primaryKind=unique-root primaryVis=public secondaries=(int);(int,float);(ObjectSet) statics=ObjectSetIterator,`with`,tableSize tparams="[T <: java.lang.Object]"
type	com.badlogic.gdx.utils.ObjectSet$ObjectSetIterator	lowlevel.util.ObjectSet$ObjectSetIterator	Renamed	-		0		form=class parents=java.lang.Iterable,java.util.Iterator primary=(ObjectSet) primaryKind=unique-root primaryVis=public tparams="[K <: java.lang.Object]"
type	com.badlogic.gdx.utils.OrderedMap	lowlevel.util.OrderedMap	Renamed	-		0		companion=yes form=class parents=lowlevel.util.ObjectMap primary=() primaryKind=no-arg-root primaryVis=public secondaries=(int);(int,float);(OrderedMap) statics=OrderedMapEntries,OrderedMapKeys,OrderedMapValues tparams="[K <: java.lang.Object, V <: java.lang.Object]"
type	com.badlogic.gdx.utils.OrderedMap$OrderedMapEntries	lowlevel.util.OrderedMap$OrderedMapEntries	Renamed	-		0		form=class parents=lowlevel.util.ObjectMap$Entries primary=(OrderedMap) primaryKind=unique-root primaryVis=public tparams="[K <: java.lang.Object, V <: java.lang.Object]"
type	com.badlogic.gdx.utils.OrderedMap$OrderedMapKeys	lowlevel.util.OrderedMap$OrderedMapKeys	Renamed	-		0		form=class parents=lowlevel.util.ObjectMap$Keys primary=(OrderedMap) primaryKind=unique-root primaryVis=public tparams="[K <: java.lang.Object]"
type	com.badlogic.gdx.utils.OrderedMap$OrderedMapValues	lowlevel.util.OrderedMap$OrderedMapValues	Renamed	-		0		form=class parents=lowlevel.util.ObjectMap$Values primary=(OrderedMap) primaryKind=unique-root primaryVis=public tparams="[V <: java.lang.Object]"
type	com.badlogic.gdx.utils.OrderedSet	lowlevel.util.OrderedSet	Renamed	-		0		companion=yes form=class parents=lowlevel.util.ObjectSet primary=() primaryKind=no-arg-root primaryVis=public secondaries=(int,float);(int);(OrderedSet) statics=OrderedSetIterator,`with` tparams="[T <: java.lang.Object]"
type	com.badlogic.gdx.utils.OrderedSet$OrderedSetIterator	lowlevel.util.OrderedSet$OrderedSetIterator	Renamed	-		0		form=class parents=lowlevel.util.ObjectSet$ObjectSetIterator primary=(OrderedSet) primaryKind=unique-root primaryVis=public tparams="[K <: java.lang.Object]"
type	com.badlogic.gdx.utils.QuickSelect	lowlevel.util.QuickSelect	Renamed	-		0		form=class primary=() primaryKind=unique-root primaryVis=public tparams="[T <: java.lang.Object]"
type	com.badlogic.gdx.utils.Select	lowlevel.util.Select	Renamed	-		0		companion=yes form=class primary=() primaryKind=unique-root primaryVis=public statics=instance,instance$field
