# balticporter port map	schema=3	module=sge-screens	engine=balticporter/0.1.0-SNAPSHOT	sources=a6a40dee2864c599	files=20	policy=3c2ded84f124e56e
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	de.eskalon.commons.screen.BlankScreen	sge.screen.BlankScreen	Renamed	-		0		form=class parents=sge.screen.ManagedScreenAdapter primary=() primaryKind=unique-root primaryVis=public
type	de.eskalon.commons.core.ManagedGame	sge.screen.ManagedGame	Renamed	-		0		form=class parents=sge.ApplicationAdapter primary=(ScreenManager) primaryKind=unique-root primaryVis=public secondaries=() tparams="[S <: sge.screen.ManagedScreen, T <: sge.screen.transition.ScreenTransition]"
type	de.eskalon.commons.screen.ManagedScreen	sge.screen.ManagedScreen	Renamed	-		0		flags=abstract form=class parents=sge.Screen primary=() primaryKind=unique-root primaryVis=public
type	de.eskalon.commons.screen.ManagedScreenAdapter	sge.screen.ManagedScreenAdapter	Renamed	-		0		form=class parents=sge.screen.ManagedScreen primary=() primaryKind=unique-root primaryVis=public
type	de.eskalon.commons.screen.ScreenManager	sge.screen.ScreenManager	Renamed	-		0		form=class parents=java.lang.AutoCloseable primary=() primaryKind=unique-root primaryVis=public tparams="[S <: sge.screen.ManagedScreen, T <: sge.screen.transition.ScreenTransition]"
type	de.eskalon.commons.screen.transition.BatchTransition	sge.screen.transition.BatchTransition	Renamed	-		0		flags=abstract form=class parents=sge.screen.transition.TimedTransition primary=(SpriteBatch,float,?) primaryKind=unique-root primaryVis=public
type	de.eskalon.commons.screen.transition.ScreenTransition	sge.screen.transition.ScreenTransition	Renamed	-		0		flags=abstract form=class parents=java.lang.AutoCloseable primary=() primaryKind=unique-root primaryVis=public
type	de.eskalon.commons.screen.transition.SlidingTransition	sge.screen.transition.SlidingTransition	Renamed	-		0		form=class parents=sge.screen.transition.BatchTransition primary=(SpriteBatch,SlidingDirection,boolean,float,?) primaryKind=unique-root primaryVis=public
type	de.eskalon.commons.screen.transition.TimedTransition	sge.screen.transition.TimedTransition	Renamed	-		0		flags=abstract form=class parents=sge.screen.transition.ScreenTransition primary=(float,?) primaryKind=unique-root primaryVis=public secondaries=(float)
type	de.eskalon.commons.screen.transition.impl.BlankTimedTransition	sge.screen.transition.impl.BlankTimedTransition	Renamed	-		0		form=class parents=sge.screen.transition.TimedTransition primary=(float,?) primaryKind=unique-root primaryVis=public secondaries=(float)
